"","regions","est","ci_l","ci_h","p","pFDR"
"1","v_intra_Middlecerebellarpeduncle",-0.0522750562815171,-0.23145471690719,0.126904604344156,0.613584495356352,0.842176743629636
"2","v_intra_Pontine",0.0715298699536221,-0.110270507859832,0.253330247767076,0.448449790814618,0.754931000226223
"3","v_intra_GenuCC",0.145955457796179,-0.0303727193203917,0.32228363491275,0.122284338244964,0.488624324861992
"4","v_intra_BodyCC",0.251166854452497,0.073273646801067,0.429060062103928,0.0107349454142293,0.172143738399058
"5","v_intra_SpleniumCC",0.0951650847557893,-0.0838838483897452,0.274214017901324,0.318831782908245,0.687222910309999
"6","v_intra_Fornix",-0.140021161087733,-0.297675382869582,0.0176330606941162,0.0743495315128829,0.425349562859247
"7","v_intra_CorticospinaltractR",0.0939861486474593,-0.0870014897890037,0.274973787083922,0.330574160475035,0.693623580086156
"8","v_intra_CorticospinaltractL",0.055850141244617,-0.12564680607019,0.237347088559424,0.558994668440282,0.825592125696417
"9","v_intra_MediallemniscusR",-0.173762776408573,-0.354942640658849,0.00741708784170186,0.0810862047844233,0.426985584687596
"10","v_intra_MediallemniscusL",-0.200078108657523,-0.380975385785035,-0.0191808315300101,0.0430948149608858,0.355816871100106
"11","v_intra_InferiorcerebellarpeduncleR",-0.125225146142933,-0.306696535783606,0.056246243497741,0.233866021552561,0.634488684559991
"12","v_intra_InferiorcerebellarpeduncleL",-0.0931458989616532,-0.274044217516973,0.0877524195936662,0.360501798054058,0.712828995914132
"13","v_intra_SuperiorcerebellarpeduncleR",-0.221141128012648,-0.403617247744054,-0.038665008281243,0.0459982644317019,0.362672583489504
"14","v_intra_SuperiorcerebellarpeduncleL",-0.196829382258225,-0.379157009458382,-0.014501755058067,0.0771317727172834,0.425931205093671
"15","v_intra_CerebralpeduncleR",0.0344298468266169,-0.146994673123953,0.215854366777187,0.740790633647582,0.90563550663905
"16","v_intra_CerebralpeduncleL",0.0411625938188021,-0.139786137650115,0.222111325287719,0.695654648768207,0.887211298343558
"17","v_intra_AnteriorlimbofinternalcapsuleR",0.0677100507821067,-0.113190390661117,0.24861049222533,0.49802963364815,0.79582712265415
"18","v_intra_AnteriorlimbofinternalcapsuleL",0.024805319562848,-0.156672638590896,0.206283277716592,0.813319085089187,0.938772815081686
"19","v_intra_.PosteriorlimbofinternalcapsuleR",0.0408915953077929,-0.14071109889509,0.222494289510676,0.683753701249253,0.885003580701937
"20","v_intra_PosteriorlimbofinternalcapsuleL",0.0085319484416896,-0.172828294592668,0.189892191476047,0.932578567205219,0.978031976363121
"21","v_intra_RetrolenticularpartofinternalcapsuleR",-0.0249414661943825,-0.205658400641919,0.155775468253154,0.795879334589158,0.935579334480634
"22","v_intra_RetrolenticularpartofinternalcapsuleL",-0.0206574034225871,-0.202061377738724,0.16074657089355,0.827846620810484,0.939364007532344
"23","v_intra_AnteriorcoronaradiataR",0.110033317883214,-0.066334551993835,0.286401187760263,0.24047485418185,0.638088274553914
"24","v_intra_AnteriorcoronaradiataL",0.0917363285105156,-0.0847316494163575,0.268204306437389,0.331327604000995,0.693623580086156
"25","v_intra_SuperiorcoronaradiataR",0.0783201247763231,-0.100117250953201,0.256757500505847,0.411272696497031,0.736127095458079
"26","v_intra_SuperiorcoronaradiataL",0.0550265996466573,-0.123386547339854,0.233439746633168,0.556328984286025,0.825592125696417
"27","v_intra_PosteriorcoronaradiataR",0.0557835864375555,-0.120812853294836,0.232380026169947,0.543488635737575,0.817965002974598
"28","v_intra_PosteriorcoronaradiataL",0.0777332329425277,-0.100913862599409,0.256380328484464,0.405715730980475,0.731695422346289
"29","v_intra_PosteriorthalamicradiationR",-0.0217518181403058,-0.201082823486354,0.157579187205743,0.820024167808128,0.938772815081686
"30","v_intra_PosteriorthalamicradiationL",0.00822356219724167,-0.171283409377873,0.187730533772357,0.93124361668219,0.977453350394763
"31","v_intra_SagittalstratumR",0.0521597037386011,-0.126659333910096,0.230978741387298,0.592087684869197,0.831932804502233
"32","v_intra_SagittalstratumL",0.031979973271774,-0.1467662049403,0.210726151483848,0.73666359915375,0.90563550663905
"33","v_intra_ExternalcapsuleR",0.0912220997800646,-0.0904701875934574,0.272914387153587,0.368082166721986,0.712828995914132
"34","v_intra_ExternalcapsuleL",0.0591769880067065,-0.122982077117371,0.241336053130784,0.552472805713235,0.825176151391097
"35","v_intra_CingulumcingulategyrusR",0.00597172372652551,-0.17337655198012,0.185319999433171,0.951847821493363,0.985527200997892
"36","v_intra_CingulumcingulategyrusL",-0.015096018821034,-0.194247335120292,0.164055297478224,0.87722503616791,0.957637369233055
"37","v_intra_CingulumhippocampusR",0.064213378800342,-0.114539630128582,0.242966387729266,0.501187428112699,0.797532123782533
"38","v_intra_CingulumhippocampusL",0.12258345657294,-0.0542720093714399,0.29943892251732,0.16455446794707,0.5425709460189
"39","v_intra_Fornix_StriaterminalisR",-0.0546440927741788,-0.233110032822252,0.123821847273894,0.558039976265537,0.825592125696417
"40","v_intra_Fornix_StriaterminalisL",-0.0734990153557133,-0.25297281152438,0.105974780812953,0.426535067083973,0.738980290778807
"41","v_intra_SuperiorlongitudinalfasciculusR",0.0408812754868904,-0.140055321945939,0.22181787291972,0.672906484802529,0.880945113089689
"42","v_intra_SuperiorlongitudinalfasciculusL",0.0140912332674909,-0.167081984551884,0.195264451086866,0.887188413560273,0.95813862549402
"43","v_intra_SuperiorfrontooccipitalfasciculusR",0.0169418811713955,-0.163568035514094,0.197451797856885,0.862395212974587,0.954931646087147
"44","v_intra_SuperiorfrontooccipitalfasciculusL",0.0515541529182155,-0.128213571547833,0.231321877384264,0.599456055621083,0.835889561357666
"45","v_intra_UncinatefasciculusR",0.190667543988726,0.00933446569649779,0.372000622280955,0.0653165403861547,0.411237164156512
"46","v_intra_UncinatefasciculusL",0.127761149066217,-0.0529462398043152,0.30846853793675,0.176492001340798,0.55481616542397
"47","v_intra_TapetumR",-0.187928879462042,-0.353833388296972,-0.0220243706271113,0.0289412264496376,0.294320043572401
"48","v_intra_TapetumL",-0.0162513699398555,-0.18623547402715,0.153732734147439,0.849111712320847,0.947845632358155
"49","v_extra_Middlecerebellarpeduncle",-0.0189993309459911,-0.193651011849498,0.155652349957516,0.81945357460309,0.938772815081686
"50","v_extra_Pontine",-0.118064331258545,-0.300706269358814,0.0645776068417248,0.123307184759004,0.488624324861992
"51","v_extra_GenuCC",-0.090383199622411,-0.272001396165086,0.0912349969202639,0.343905313522577,0.697693764924126
"52","v_extra_BodyCC",-0.0810519769096449,-0.264274441300899,0.102170487481609,0.371723425964709,0.712828995914132
"53","v_extra_SpleniumCC",-0.146404065044259,-0.326047671205236,0.0332395411167186,0.0969514110546464,0.461814354947323
"54","v_extra_Fornix",-0.0776277466624482,-0.25223766197522,0.0969821686503234,0.378629771199588,0.71704090205931
"55","v_extra_CorticospinaltractR",-0.150185090388312,-0.329451129423923,0.0290809486473002,0.138710302519372,0.506055240726753
"56","v_extra_CorticospinaltractL",-0.140618918312302,-0.321285017841273,0.0400471812166702,0.197980989879866,0.589667251220863
"57","v_extra_MediallemniscusR",0.0286117309762674,-0.154457056174524,0.211680518127059,0.782579021066984,0.929448603457794
"58","v_extra_MediallemniscusL",0.0865702191594924,-0.0962990616437993,0.269439499962784,0.337842436156885,0.697693764924126
"59","v_extra_InferiorcerebellarpeduncleR",0.117952933291203,-0.0646274096597882,0.300533276242195,0.208488392091199,0.599113368597302
"60","v_extra_InferiorcerebellarpeduncleL",0.16825549483824,-0.0135085456196698,0.35001953529615,0.11670584343016,0.486198164699646
"61","v_extra_SuperiorcerebellarpeduncleR",0.169534466152799,-0.0100124088084076,0.349081341114005,0.266677923960145,0.657735274905655
"62","v_extra_SuperiorcerebellarpeduncleL",0.023444225352289,-0.157882682709594,0.204771133414172,0.805778458853122,0.937794904783473
"63","v_extra_CerebralpeduncleR",-0.156464728344154,-0.333853525582461,0.0209240688941525,0.0945967288122694,0.459408819402687
"64","v_extra_CerebralpeduncleL",-0.172255669241809,-0.349604061828894,0.00509272334527644,0.0807143070562076,0.426985584687596
"65","v_extra_AnteriorlimbofinternalcapsuleR",-0.163163480406317,-0.345949827829148,0.0196228670165142,0.107633441601874,0.469673199717266
"66","v_extra_AnteriorlimbofinternalcapsuleL",-0.141071315517805,-0.324220592788658,0.0420779617530474,0.150667512831633,0.515006214018564
"67","v_extra_.PosteriorlimbofinternalcapsuleR",-0.096391492087806,-0.278607647874413,0.0858246636988005,0.291525292743967,0.668611792483886
"68","v_extra_PosteriorlimbofinternalcapsuleL",-0.0346161085418947,-0.215858538099554,0.146626321015764,0.686860880323215,0.885003580701937
"69","v_extra_RetrolenticularpartofinternalcapsuleR",-0.0167808330181458,-0.199219275526486,0.165657609490195,0.856537208753213,0.951877503583268
"70","v_extra_RetrolenticularpartofinternalcapsuleL",-0.0307564716978065,-0.213654867431017,0.152141924035404,0.72648925753816,0.903046407776518
"71","v_extra_AnteriorcoronaradiataR",-0.157428865226923,-0.337829465745503,0.0229717352916563,0.0831546526691341,0.429840932315859
"72","v_extra_AnteriorcoronaradiataL",-0.171351842025502,-0.351714121213331,0.00901043716232594,0.0634208892888387,0.411237164156512
"73","v_extra_SuperiorcoronaradiataR",-0.157943248517682,-0.337231286004569,0.0213447889692044,0.0819895522291045,0.42703282753678
"74","v_extra_SuperiorcoronaradiataL",-0.13021612795438,-0.309578613712895,0.0491463578041346,0.124648290713235,0.488624324861992
"75","v_extra_PosteriorcoronaradiataR",-0.121899000720699,-0.303445143495188,0.0596471420537902,0.145716241181528,0.511293820777671
"76","v_extra_PosteriorcoronaradiataL",-0.163051849292044,-0.34545515174368,0.0193514531595929,0.0796256672279219,0.426985584687596
"77","v_extra_PosteriorthalamicradiationR",-0.0925186347128189,-0.274068875640228,0.0890316062145897,0.319576493658573,0.687457814230196
"78","v_extra_PosteriorthalamicradiationL",-0.107900614722,-0.290669823278134,0.0748685938341343,0.280567766531634,0.668611792483886
"79","v_extra_SagittalstratumR",-0.112481614838591,-0.29478760467934,0.0698243750021585,0.236514852775792,0.634886832345039
"80","v_extra_SagittalstratumL",-0.110235334257739,-0.292179449817395,0.0717087813019169,0.254749796638018,0.65327218385265
"81","v_extra_ExternalcapsuleR",-0.104532168316217,-0.288004636684809,0.0789403000523746,0.288906930343369,0.668611792483886
"82","v_extra_ExternalcapsuleL",-0.123252793028708,-0.306610483110748,0.0601048970533309,0.21822412786172,0.615643161058792
"83","v_extra_CingulumcingulategyrusR",-0.0668150333744704,-0.24792454639272,0.114294479643779,0.50809014265814,0.799617273691498
"84","v_extra_CingulumcingulategyrusL",-0.0369451347057126,-0.21741939795938,0.143529128547954,0.706993668225106,0.888890604411274
"85","v_extra_CingulumhippocampusR",-0.0849251437194592,-0.266939531524469,0.0970892440855507,0.42381660442342,0.738980290778807
"86","v_extra_CingulumhippocampusL",-0.189748835500851,-0.37056334494511,-0.00893432605659292,0.0533724627481565,0.376246756030232
"87","v_extra_Fornix_StriaterminalisR",-0.107762187969794,-0.290950494131506,0.0754261181919184,0.240278878844703,0.638088274553914
