"","tracts","est","ci_l","ci_h","p","pFDR"
"1","v_intra_ATRL",-0.0119557425670751,-0.191503898042822,0.167592412908672,0.905251977820329,0.985377541445192
"2","v_extra_ATRL",-0.121568488099595,-0.302483064554556,0.0593460883553672,0.164291879755238,0.751538873747432
"3","v_csf_ATRL",-0.00916785842677374,-0.189007708641381,0.170671991787834,0.928501228163768,0.985377541445192
"4","micro_Rd_ATRL",0.0386782873714567,-0.124438001662613,0.201794576405526,0.747671289596604,0.966917947956164
"5","micro_FA_ATRL",-0.0249408710859815,-0.204088871851281,0.154207129679318,0.80027172662149,0.966917947956164
"6","micro_Ax_ATRL",-0.128952665454357,-0.311394051106539,0.0534887201978252,0.28339357303926,0.796489845884834
"7","micro_ADC_ATRL",-0.0424906736009706,-0.217302528386612,0.132321181184671,0.699785081407748,0.966917947956164
"8","Dax_intra_ATRL",-0.112571582108374,-0.295819558815678,0.0706763945989301,0.268188606937229,0.786687657405068
"9","Dax_extra_ATRL",-0.135015397359446,-0.317850642504431,0.0478198477855386,0.219315248681058,0.758204579704685
"10","mk_ATRL",-0.0230305814714874,-0.200751190040947,0.154690027097972,0.765093055538732,0.966917947956164
"11","rk_ATRL",-0.0518404492361807,-0.225982668719426,0.122301770247065,0.571010114621783,0.955250448053141
"12","ak_ATRL",0.0515736424917064,-0.129745138018273,0.232892423001686,0.401087544950368,0.877925661898187
"13","FA_ATRL",0.0445693222831194,-0.122925591319168,0.212064235885407,0.648040601085164,0.960328720443831
"14","MD_ATRL",0.0826207537873501,-0.0825087734816684,0.247750281056369,0.540389040575201,0.936839250146298
"15","RD_ATRL",0.0783158014135322,-0.0861905072514165,0.242822110078481,0.568599021689453,0.955250448053141
"16","AD_ATRL",0.0824036314668378,-0.0867247514596069,0.251532014393282,0.495665849133766,0.9107641044154
"17","smt_fa_ATRL",-0.0755145277787875,-0.252327611169328,0.101298555611753,0.555864441293733,0.944789086913964
"18","smt_long_ATRL",-0.0408510178962912,-0.216402728624747,0.134700692832164,0.632240627679741,0.957872808938416
"19","smt_md_ATRL",0.0127190973392339,-0.15679790941175,0.182236104090217,0.906599406228031,0.985377541445192
"20","smt_trans_ATRL",0.0907307359711101,-0.0812735379945889,0.262735009936809,0.578962528322553,0.955250448053141
"21","smt_mc_intra_ATRL",0.0337294404183696,-0.141769764346998,0.209228645183738,0.719293476946464,0.966917947956164
"22","smt_mc_extramd_ATRL",0.00740878308616127,-0.163295056861672,0.178112623033994,0.937480073568284,0.985377541445192
"23","smt_mc_extratrans_ATRL",-0.00668032541983472,-0.175396900717403,0.162036249877733,0.949526249222719,0.985536226738151
"24","smt_mc_diff_ATRL",0.0341752503465185,-0.146671696752708,0.215022197445745,0.686871419413276,0.966917947956164
"25","awf_ATRL",0.0312125393901689,-0.140662132592268,0.203087211372605,0.738566147757932,0.966917947956164
"26","radEAD_ATRL",-0.0178819785833688,-0.196013185033224,0.160249227866487,0.82477383415951,0.972522434836611
"27","v_intra_ATRR",0.00847944129839273,-0.171696537384553,0.188655419981338,0.933051369192072,0.985377541445192
"28","v_extra_ATRR",-0.103204714229825,-0.284640918771204,0.0782314903115546,0.28548786619737,0.796489845884834
"29","v_csf_ATRR",0.000535211871063941,-0.179465836138878,0.180536259881006,0.995951792002337,0.995951792002337
"30","micro_Rd_ATRR",-0.0146520589625891,-0.175195729721577,0.145891611796399,0.860393673618554,0.98115068044221
"31","micro_FA_ATRR",-0.0177572503890713,-0.197417302719991,0.161902801941849,0.857223848491314,0.98115068044221
"32","micro_Ax_ATRR",-0.119231127485882,-0.30147897348609,0.0630167185143266,0.314852525750278,0.815230180321661
"33","micro_ADC_ATRR",-0.062924736914661,-0.238368175512773,0.112518701683451,0.527272857506986,0.923171333008865
"34","Dax_intra_ATRR",-0.121098748426128,-0.304167390924058,0.0619698940718027,0.24574817217061,0.765203889393516
"35","Dax_extra_ATRR",-0.133382167164023,-0.316052437427515,0.0492881030994689,0.228298764467297,0.758204579704685
"36","mk_ATRR",0.0112019663487996,-0.168011239816953,0.190415172514553,0.8753758212219,0.985377541445192
"37","rk_ATRR",-0.040538576870153,-0.216246395623904,0.135169241883598,0.640780774092239,0.960328720443831
"38","ak_ATRR",0.0656968153255316,-0.115555505665243,0.246949136316306,0.229561473063466,0.758204579704685
"39","FA_ATRR",0.0325371194059071,-0.136624956129114,0.201699194940928,0.712768747195749,0.966917947956164
"40","MD_ATRR",0.0206882470946656,-0.140705121072085,0.182081615261417,0.814542496613954,0.969249652721409
"41","RD_ATRR",0.0231292117994271,-0.138990572054023,0.185248995652877,0.803310500535949,0.966917947956164
"42","AD_ATRR",0.0145179044540905,-0.15018095863996,0.179216767548141,0.850769035743811,0.98115068044221
