"","regions","est","ci_l","ci_h","p","pFDR"
"1","v_intra_Middlecerebellarpeduncle",-0.0667925814808174,-0.247598278104902,0.114013115143267,0.491029217252685,0.870178335827466
"2","v_intra_Pontine",0.00018176179611119,-0.18210635380225,0.182469877394473,0.998535760260719,0.999644635466442
"3","v_intra_GenuCC",0.0595968176676725,-0.115332496174643,0.234526131509988,0.530664475151814,0.870178335827466
"4","v_intra_BodyCC",0.152270424665402,-0.0252403228710472,0.329781172201852,0.12350814171124,0.604904130760714
"5","v_intra_SpleniumCC",0.014422064525167,-0.16488471255502,0.193728841605354,0.880569350784828,0.955093963363073
"6","v_intra_Fornix",-0.152683844265066,-0.305711330135968,0.000343641605836859,0.0467829009750154,0.454414570131026
"7","v_intra_CorticospinaltractR",0.0047049564513537,-0.176338932093032,0.18574884499574,0.96235206620794,0.98878002044282
"8","v_intra_CorticospinaltractL",0.00081821612384327,-0.18023204903351,0.181868481281196,0.993381550399335,0.997377453659187
"9","v_intra_MediallemniscusR",-0.159002857560578,-0.341131449871679,0.0231257347505237,0.0974733327557345,0.571111358118107
"10","v_intra_MediallemniscusL",-0.144203870665861,-0.3260955820376,0.0376878407058779,0.121139261233148,0.604904130760714
"11","v_intra_InferiorcerebellarpeduncleR",-0.113843909170023,-0.296000544001538,0.0683127256614926,0.234645736538646,0.795755106522364
"12","v_intra_InferiorcerebellarpeduncleL",-0.101171105539185,-0.283050748797427,0.0807085377190572,0.273411899287838,0.841452653167662
"13","v_intra_SuperiorcerebellarpeduncleR",-0.161439642422782,-0.343605959798648,0.0207266749530846,0.10452037516434,0.58493913993317
"14","v_intra_SuperiorcerebellarpeduncleL",-0.138193386318045,-0.320699021881206,0.0443122492451158,0.165065578018817,0.675415873336012
"15","v_intra_CerebralpeduncleR",-0.047354550760312,-0.229457727209928,0.134748625689304,0.630627941137918,0.88144914915304
"16","v_intra_CerebralpeduncleL",-0.053567817155913,-0.2354388770611,0.128303242749274,0.568353899455976,0.870178335827466
"17","v_intra_AnteriorlimbofinternalcapsuleR",0.0294012975714881,-0.15161598273581,0.210418577878786,0.756821241437904,0.918851596659349
"18","v_intra_AnteriorlimbofinternalcapsuleL",-0.0281236151283269,-0.209540435130077,0.153293204873423,0.781585780437835,0.921451495383694
"19","v_intra_.PosteriorlimbofinternalcapsuleR",-0.0520430876851163,-0.234335491686312,0.130249316316079,0.55838057432123,0.870178335827466
"20","v_intra_PosteriorlimbofinternalcapsuleL",-0.064233941000799,-0.246427277859001,0.117959395857403,0.481353995104786,0.870178335827466
"21","v_intra_RetrolenticularpartofinternalcapsuleR",-0.0843692368011488,-0.265309246876796,0.0965707732744987,0.366899251367167,0.853245870895322
"22","v_intra_RetrolenticularpartofinternalcapsuleL",-0.0875483108004238,-0.268551831123418,0.0934552095225702,0.364346975919922,0.853245870895322
"23","v_intra_AnteriorcoronaradiataR",0.0345458104978826,-0.141458214289755,0.210549835285521,0.710748987543357,0.911628711669178
"24","v_intra_AnteriorcoronaradiataL",0.00582960010383007,-0.169502641809454,0.181161842017114,0.951013405674429,0.984172618036627
"25","v_intra_SuperiorcoronaradiataR",-0.00597746126635098,-0.184859649838813,0.172904727306111,0.948210758439032,0.983451057512954
"26","v_intra_SuperiorcoronaradiataL",-0.0188212064878445,-0.196910475884358,0.159268062908669,0.8398052296802,0.948393071394296
"27","v_intra_PosteriorcoronaradiataR",-0.0334595055831861,-0.210710877299894,0.143791866133522,0.717004886360812,0.914310488813332
"28","v_intra_PosteriorcoronaradiataL",-0.0168349483981381,-0.195026688136704,0.161356791340427,0.857229671379792,0.951579295669381
"29","v_intra_PosteriorthalamicradiationR",-0.112438203970766,-0.29235942321477,0.0674830152732372,0.228082007447904,0.784511739528445
"30","v_intra_PosteriorthalamicradiationL",-0.106502033162369,-0.286041544782626,0.0730374784578889,0.254901110607236,0.826044582412704
"31","v_intra_SagittalstratumR",-0.0168913635639566,-0.196129543104594,0.16234681597668,0.861484595301556,0.951579295669381
"32","v_intra_SagittalstratumL",-0.0619387169801621,-0.240401238353658,0.116523804393334,0.518044637535912,0.870178335827466
"33","v_intra_ExternalcapsuleR",0.0853137368935423,-0.0966653552849557,0.26729282907204,0.361400633644437,0.853245870895322
"34","v_intra_ExternalcapsuleL",0.021492450727293,-0.161014079499372,0.203998980953958,0.828164823120548,0.944463108428491
"35","v_intra_CingulumcingulategyrusR",-0.0418387486920286,-0.220628810748195,0.136951313364138,0.653007589052833,0.888264651101843
"36","v_intra_CingulumcingulategyrusL",-0.064003187004986,-0.242187199324019,0.114180825314047,0.507086220063939,0.870178335827466
"37","v_intra_CingulumhippocampusR",0.0114870857073819,-0.169441124361765,0.192415295776529,0.905892227183536,0.965459862959054
"38","v_intra_CingulumhippocampusL",0.0693402394679819,-0.110660151377929,0.249340630313892,0.447812841032923,0.858075977029106
"39","v_intra_Fornix_StriaterminalisR",-0.101758619697045,-0.280923271306279,0.0774060319121889,0.27451969655365,0.841770470022004
"40","v_intra_Fornix_StriaterminalisL",-0.142252141686388,-0.321772806544256,0.037268523171479,0.129292318132156,0.620603127034347
"41","v_intra_SuperiorlongitudinalfasciculusR",-0.0454806112341267,-0.226505204774929,0.135543982306676,0.631485149054708,0.88144914915304
"42","v_intra_SuperiorlongitudinalfasciculusL",-0.082470590707281,-0.263069213051731,0.0981280316371695,0.402295194791561,0.853245870895322
"43","v_intra_SuperiorfrontooccipitalfasciculusR",-0.0204765978612436,-0.201392262003515,0.160439066281027,0.82884026211179,0.944463108428491
"44","v_intra_SuperiorfrontooccipitalfasciculusL",0.00929533641113919,-0.169806294693104,0.188396967515383,0.923838848170559,0.969692069886961
"45","v_intra_UncinatefasciculusR",0.161426453073322,-0.0185778933265824,0.341430799473226,0.110146475639887,0.596161041327495
"46","v_intra_UncinatefasciculusL",0.0650456238113371,-0.116351399795234,0.246442647417908,0.465638715511362,0.866046374006229
"47","v_intra_TapetumR",-0.200053105683058,-0.36730137993665,-0.0328048314294656,0.0225523672619477,0.345208799163344
"48","v_intra_TapetumL",-0.0321990384679071,-0.204187078000191,0.139789001064377,0.723908257459215,0.916256250881685
"49","v_extra_Middlecerebellarpeduncle",0.0040987912986495,-0.170123977258188,0.178321559855487,0.963559860113649,0.98878002044282
"50","v_extra_Pontine",-0.141527508074704,-0.324628413739234,0.0415733975898263,0.0320857476050356,0.3925785589322
"51","v_extra_GenuCC",-0.0179210770292594,-0.198614578462151,0.162772424403632,0.841085718848958,0.948393071394296
"52","v_extra_BodyCC",-0.0242281113571814,-0.207375321342657,0.158919098628294,0.781904754496259,0.921451495383694
"53","v_extra_SpleniumCC",-0.126190837108579,-0.30560046037974,0.0532187861625829,0.15647131391096,0.664204761091421
"54","v_extra_Fornix",-0.0223756153646335,-0.198444317458774,0.153693086729507,0.758249821926477,0.918851596659349
"55","v_extra_CorticospinaltractR",-0.131792651473307,-0.312151100258815,0.048565797312202,0.143786659085751,0.642316481155024
"56","v_extra_CorticospinaltractL",-0.104507231375197,-0.28492014935845,0.0759056866080564,0.360557982096851,0.853245870895322
"57","v_extra_MediallemniscusR",0.0155743727260379,-0.167074809439569,0.198223554891644,0.873975682907733,0.954262162964874
"58","v_extra_MediallemniscusL",0.061869457879149,-0.1207086889866,0.244447604744898,0.444810638909928,0.856672341604306
"59","v_extra_InferiorcerebellarpeduncleR",0.0986396672859545,-0.0842742108685845,0.281553545440493,0.273492557019979,0.841452653167662
"60","v_extra_InferiorcerebellarpeduncleL",0.141496139754786,-0.0411286897605449,0.324120969270118,0.154637678203042,0.660917199991086
"61","v_extra_SuperiorcerebellarpeduncleR",0.176354010650636,-0.00147977491713691,0.354187796218409,0.273741808642685,0.841452653167662
"62","v_extra_SuperiorcerebellarpeduncleL",0.0589031798566927,-0.121666594553234,0.239472954266619,0.596348359946615,0.870178335827466
"63","v_extra_CerebralpeduncleR",-0.113864018285766,-0.291480198679502,0.0637521621079695,0.214646179905033,0.767832565967353
"64","v_extra_CerebralpeduncleL",-0.129817485617375,-0.307906481986596,0.0482715107518451,0.173970759512604,0.680612877340847
"65","v_extra_AnteriorlimbofinternalcapsuleR",-0.170025119023099,-0.352497549652499,0.012447311606301,0.0689821294298346,0.50633651147923
"66","v_extra_AnteriorlimbofinternalcapsuleL",-0.0950470250257744,-0.278006481869398,0.0879124318178492,0.299082432350094,0.853245870895322
"67","v_extra_.PosteriorlimbofinternalcapsuleR",-0.0486322364067463,-0.230426661276683,0.133162188463191,0.569976437864536,0.870178335827466
"68","v_extra_PosteriorlimbofinternalcapsuleL",0.00318172281893006,-0.177208442558636,0.183571888196496,0.969049208392277,0.989585101720075
"69","v_extra_RetrolenticularpartofinternalcapsuleR",0.018426181688005,-0.163630357441759,0.200482720817769,0.833835378057571,0.946024138014408
"70","v_extra_RetrolenticularpartofinternalcapsuleL",0.00175596108502538,-0.180056143727836,0.183568065897887,0.983613350124218,0.99236011394909
"71","v_extra_AnteriorcoronaradiataR",-0.120488037079591,-0.299553020838578,0.0585769466793965,0.16876981204773,0.680410197751748
"72","v_extra_AnteriorcoronaradiataL",-0.121741651405929,-0.300203294250686,0.0567199914388275,0.157120417586751,0.664699258129714
"73","v_extra_SuperiorcoronaradiataR",-0.121888042392989,-0.300643189053823,0.0568671042678453,0.140175565901665,0.636142204528282
"74","v_extra_SuperiorcoronaradiataL",-0.104884202445403,-0.282200513272917,0.0724321083821119,0.17519265198139,0.681122833871572
"75","v_extra_PosteriorcoronaradiataR",-0.0665403962404314,-0.24783184074563,0.114751048264767,0.423125793425814,0.853245870895322
"76","v_extra_PosteriorcoronaradiataL",-0.117091350310404,-0.298888225445244,0.0647055248244352,0.220678957812201,0.780186369055706
"77","v_extra_PosteriorthalamicradiationR",-0.0394686887908354,-0.221338918929801,0.14240154134813,0.666639740154991,0.889803631779068
"78","v_extra_PosteriorthalamicradiationL",-0.035992434868872,-0.218489380487439,0.146504510749695,0.714025064879669,0.913347190919961
"79","v_extra_SagittalstratumR",-0.0810669782981192,-0.262766707023975,0.100632750427737,0.411376975250008,0.853245870895322
"80","v_extra_SagittalstratumL",-0.0330127059292555,-0.213952944228111,0.1479275323696,0.727650631308353,0.91634452599917
"81","v_extra_ExternalcapsuleR",-0.148306533468132,-0.331622459712972,0.0350093927767068,0.116288569360901,0.596831938553316
"82","v_extra_ExternalcapsuleL",-0.142857580074072,-0.326182161075117,0.040467000926972,0.152513502875684,0.658605022798801
"83","v_extra_CingulumcingulategyrusR",-0.0664695782089798,-0.245050027802021,0.112110871384062,0.504452856326133,0.870178335827466
"84","v_extra_CingulumcingulategyrusL",-0.0259838079100094,-0.203639461614891,0.151671845794872,0.781223523099652,0.921451495383694
"85","v_extra_CingulumhippocampusR",-0.0551548487011993,-0.237586215553505,0.127276518151106,0.585222287315691,0.870178335827466
"86","v_extra_CingulumhippocampusL",-0.136350836110932,-0.318359135409597,0.0456574631877325,0.148221757133032,0.648837342222418
"87","v_extra_Fornix_StriaterminalisR",-0.0486265373834783,-0.232060712871893,0.134807638104936,0.589110525259785,0.870178335827466
"88","v_extra_Fornix_StriaterminalisL",0.030988647675779,-0.15062691645521,0.212604211806768,0.723559465745203,0.916256250881685
