"","skeletons","est","ci_l","ci_h","p","pFDR"
"1","v_intra_Mean",-0.047744436470368,-0.226955519001981,0.131466646061245,0.619262883518815,0.995888369062633
"2","v_extra_Mean",-0.0669138004913515,-0.246222739352297,0.112395138369594,0.431817991363174,0.995888369062633
"3","v_csf_Mean",0.0655813513295306,-0.117581306449131,0.248744009108192,0.456227172700351,0.995888369062633
"4","micro_Rd_Mean",-0.0395865545752738,-0.202686925779038,0.123513816628491,0.647717548524349,0.995888369062633
"5","micro_FA_Mean",-0.0606178712115082,-0.241124990404127,0.119889247981111,0.50184472710447,0.995888369062633
"6","micro_Ax_Mean",-0.0544224296741992,-0.23778765594705,0.128942796598652,0.517189195712853,0.995888369062633
"7","micro_ADC_Mean",-0.04783558779033,-0.223598902554739,0.127927726974079,0.603497407711167,0.995888369062633
"8","Dax_intra_Mean",-0.0550117508226301,-0.238108159090602,0.128084657445342,0.517836630829116,0.995888369062633
"9","Dax_extra_Mean",-0.0541002160298799,-0.236958822557118,0.128758390497359,0.526577672963562,0.995888369062633
"10","mk_Mean",-0.00122020216348676,-0.176076352777915,0.173635948450942,0.987503528641726,0.995888369062633
"11","rk_Mean",-0.0048640442670372,-0.176485444312611,0.166757355778536,0.954867241768199,0.995888369062633
"12","ak_Mean",0.0237646484514977,-0.155152656851893,0.202681953754889,0.719502911292028,0.995888369062633
"13","FA_Mean",0.0118638881472553,-0.150924060919467,0.174651837213978,0.890769705919481,0.995888369062633
"14","MD_Mean",0.00717025484397483,-0.157153605293456,0.171494114981406,0.932775825162004,0.995888369062633
"15","RD_Mean",0.0145247298141492,-0.146843467673245,0.175892927301543,0.86706752622442,0.995888369062633
"16","AD_Mean",-0.00770880812189844,-0.182177502361148,0.166759886117351,0.924742395004053,0.995888369062633
"17","smt_fa_Mean",0.0012772927906728,-0.176565188966606,0.179119774547951,0.986841174176619,0.995888369062633
"18","smt_long_Mean",0.00376569814197973,-0.1717111613232,0.17924255760716,0.962048732278235,0.995888369062633
"19","smt_md_Mean",0.000413694053086837,-0.169303728443751,0.170131116549924,0.995888369062633,0.995888369062633
"20","smt_trans_Mean",-0.00764641422035564,-0.177432648121415,0.162139819680703,0.9349231457992,0.995888369062633
"21","smt_mc_intra_Mean",0.022306125136328,-0.151971459428822,0.196583709701478,0.791173882371711,0.995888369062633
"22","smt_mc_extramd_Mean",-0.00312511007753673,-0.173297860947485,0.167047640792412,0.96823537262049,0.995888369062633
"23","smt_mc_extratrans_Mean",-0.0237231045968299,-0.191272429210121,0.143826220016461,0.772672137039338,0.995888369062633
"24","smt_mc_diff_Mean",0.0181636435046158,-0.165010224370979,0.20133751138021,0.833244177731964,0.995888369062633
"25","awf_Mean",0.0437671175455764,-0.125810446813467,0.21334468190462,0.605618837200328,0.995888369062633
"26","radEAD_Mean",-0.0383013642942866,-0.221470525733129,0.144867797144555,0.205878619395923,0.995888369062633
