"","regions","est","ci_l","ci_h","p","pFDR"
"1","v_intra_Middlecerebellarpeduncle",0.0609284471095591,-0.117399698872276,0.239256593091394,0.44674882632024,0.998513926870589
"2","v_intra_Pontine",0.083046214244257,-0.0962348803585921,0.262327308847106,0.3255654172081,0.998513926870589
"3","v_intra_GenuCC",-0.0469395529996379,-0.218073989611266,0.12419488361199,0.567371615622434,0.998513926870589
"4","v_intra_BodyCC",-0.0632361771660353,-0.237638419878542,0.111166065546472,0.451477573208326,0.998513926870589
"5","v_intra_SpleniumCC",-0.00334789479954639,-0.179260335778192,0.172564546179099,0.966762619854842,0.999368926712423
"6","v_intra_Fornix",0.165268548502151,0.0135667879676817,0.31697030903662,0.109044520467624,0.946256043061619
"7","v_intra_CorticospinaltractR",0.116480149033778,-0.0610553079491432,0.294015606016699,0.166231692916708,0.998513926870589
"8","v_intra_CorticospinaltractL",0.191492005924241,0.013410424336647,0.369573587511835,0.0192164173807697,0.559679898982
"9","v_intra_MediallemniscusR",0.0470480220935101,-0.1323287212096,0.22642476539662,0.567493723619467,0.998513926870589
"10","v_intra_MediallemniscusL",0.0917996045618698,-0.0874186381372083,0.271017847260948,0.259114990620101,0.998513926870589
"11","v_intra_InferiorcerebellarpeduncleR",0.0401468309502408,-0.138942956109947,0.219236618010429,0.632946317392397,0.998513926870589
"12","v_intra_InferiorcerebellarpeduncleL",0.0641494635274923,-0.114581599202003,0.242880526256987,0.440657900986302,0.998513926870589
"13","v_intra_SuperiorcerebellarpeduncleR",0.076099728953402,-0.102519438300332,0.254718896207136,0.353046538371684,0.998513926870589
"14","v_intra_SuperiorcerebellarpeduncleL",0.131709037563606,-0.0473161687750812,0.310734243902294,0.102709699004736,0.946256043061619
"15","v_intra_CerebralpeduncleR",0.0465801169235884,-0.13219642282366,0.225356656670837,0.561663781028697,0.998513926870589
"16","v_intra_CerebralpeduncleL",0.0354461459416475,-0.143177202005206,0.214069493888501,0.62980848133195,0.998513926870589
"17","v_intra_AnteriorlimbofinternalcapsuleR",0.0516212859254163,-0.126254457479613,0.229497029330446,0.524041618637461,0.998513926870589
"18","v_intra_AnteriorlimbofinternalcapsuleL",0.0391282202548254,-0.139160561023971,0.217417001533622,0.641009889048171,0.998513926870589
"19","v_intra_.PosteriorlimbofinternalcapsuleR",0.0409021933140274,-0.138075388726894,0.219879775354949,0.588000006119228,0.998513926870589
"20","v_intra_PosteriorlimbofinternalcapsuleL",0.0758530947535377,-0.102893856160801,0.254600045667876,0.309139053460538,0.998513926870589
"21","v_intra_RetrolenticularpartofinternalcapsuleR",0.0426292544460498,-0.135331112143921,0.220589621036021,0.605297535670825,0.998513926870589
"22","v_intra_RetrolenticularpartofinternalcapsuleL",0.021178399359689,-0.156947483368056,0.199304282087434,0.787146862671529,0.998513926870589
"23","v_intra_AnteriorcoronaradiataR",0.0300305359050218,-0.142988543602156,0.2030496154122,0.718896597975721,0.998513926870589
"24","v_intra_AnteriorcoronaradiataL",0.0168365434309881,-0.15572293432973,0.189396021191706,0.84374189575694,0.998513926870589
"25","v_intra_SuperiorcoronaradiataR",0.0502920317624507,-0.125530368562437,0.226114432087339,0.526480359188275,0.998513926870589
"26","v_intra_SuperiorcoronaradiataL",0.0347966658425188,-0.14037407394225,0.209967405627288,0.642995646170869,0.998513926870589
"27","v_intra_PosteriorcoronaradiataR",0.000729967538905356,-0.173308009514326,0.174767944592136,0.992626829988573,0.999368926712423
"28","v_intra_PosteriorcoronaradiataL",-0.0194250232908323,-0.194011992666818,0.155161946085154,0.792237047988825,0.998513926870589
"29","v_intra_PosteriorthalamicradiationR",0.0523719023099504,-0.124273130812955,0.229016935432856,0.516158847971476,0.998513926870589
"30","v_intra_PosteriorthalamicradiationL",0.0352406623360287,-0.141373023398855,0.211854348070912,0.646812756297616,0.998513926870589
"31","v_intra_SagittalstratumR",0.00753672417549264,-0.168217638619432,0.183291086970417,0.926308233189468,0.998513926870589
"32","v_intra_SagittalstratumL",-0.00132578349899513,-0.176528209030528,0.173876642032538,0.986283940061519,0.999368926712423
"33","v_intra_ExternalcapsuleR",0.0229730790915477,-0.155851841250065,0.201797999433161,0.793888811983227,0.998513926870589
