"","skeletons","est","ci_l","ci_h","p","pFDR"
"1","v_intra_Mean",0.0206673234732625,-0.155742939115785,0.19707758606231,0.785301954205356,0.98972926436475
"2","v_extra_Mean",-0.00101912746878028,-0.177708224985668,0.175669970048107,0.98972926436475,0.98972926436475
"3","v_csf_Mean",-0.0228609958444892,-0.20254156030266,0.156819568613682,0.723986489545263,0.98972926436475
"4","micro_Rd_Mean",0.0287786053797925,-0.130422551916905,0.187979762676491,0.714727479176007,0.98972926436475
"5","micro_FA_Mean",0.00747940326602648,-0.169822235872248,0.184781042404301,0.916725804184527,0.98972926436475
"6","micro_Ax_Mean",0.0282421728307103,-0.151610957005236,0.208095302666656,0.681768810839063,0.98972926436475
"7","micro_ADC_Mean",0.0312220971051296,-0.141278811947731,0.20372300615799,0.694142796729767,0.98972926436475
"8","Dax_intra_Mean",0.0159948627423155,-0.163703004986144,0.195692730470775,0.822650886599102,0.98972926436475
"9","Dax_extra_Mean",0.0190188446416911,-0.160446745225752,0.198484434509134,0.792714735763089,0.98972926436475
"10","mk_Mean",0.0660289916836128,-0.106488895850699,0.238546879217925,0.483466581679618,0.98972926436475
"11","rk_Mean",-0.00836270932037231,-0.176756357809636,0.160030939168891,0.91090075387131,0.98972926436475
"12","ak_Mean",0.129628319626306,-0.0473663008548063,0.306622940107418,0.333209162836406,0.98972926436475
"13","FA_Mean",-0.158112850195175,-0.315584277704674,-0.000641422685676629,0.0379797129748022,0.987472537344858
"14","MD_Mean",-0.00238202512559418,-0.162835125183143,0.158071074931955,0.973917555317763,0.98972926436475
"15","RD_Mean",0.0563077719580129,-0.100363052780035,0.212978596696061,0.42952548322672,0.98972926436475
"16","AD_Mean",-0.129786006233668,-0.301880553055302,0.0423085405879657,0.143738061033562,0.98972926436475
"17","smt_fa_Mean",0.0454521269294697,-0.129713998518743,0.220618252377682,0.430430132162987,0.98972926436475
"18","smt_long_Mean",-0.00512403941778695,-0.176840482786477,0.166592403950903,0.951079339451659,0.98972926436475
"19","smt_md_Mean",-0.0164558815301864,-0.182735022780864,0.149823259720492,0.840545925674194,0.98972926436475
"20","smt_trans_Mean",-0.031905552863279,-0.19831847429095,0.134507368564392,0.650857686445682,0.98972926436475
"21","smt_mc_intra_Mean",0.0275286613147172,-0.144284835982033,0.199342158611467,0.731183823600826,0.98972926436475
"22","smt_mc_extramd_Mean",-0.0103370177870108,-0.177304421800528,0.156630386226506,0.900830835684213,0.98972926436475
"23","smt_mc_extratrans_Mean",-0.0088513276386625,-0.173687523112732,0.155984867835407,0.915934547728942,0.98972926436475
"24","smt_mc_diff_Mean",-0.0087971081612302,-0.188216679299706,0.170622462977246,0.90455053042149,0.98972926436475
"25","awf_Mean",-0.0317993395143785,-0.198216346012856,0.134617666984099,0.685246818131012,0.98972926436475
"26","radEAD_Mean",-0.0193641552517541,-0.198994373661997,0.160266063158489,0.484455220919938,0.98972926436475
