"","tracts","est","ci_l","ci_h","p","pFDR"
"1","v_intra_ATRL",0.0374893588113457,-0.139296078896192,0.214274796518884,0.629073525889509,0.999339937233234
"2","v_extra_ATRL",-0.0438338434105266,-0.220977664010899,0.133309977189846,0.648200937558468,0.999339937233234
"3","v_csf_ATRL",-0.0218218353017938,-0.201359865784469,0.157716195180881,0.72779037362214,0.999339937233234
"4","micro_Rd_ATRL",0.0200833404461137,-0.134781266741423,0.174947947633651,0.808964578326862,0.999339937233234
"5","micro_FA_ATRL",0.0107370745267803,-0.166344422744017,0.187818571797577,0.879546180391778,0.999339937233234
"6","micro_Ax_ATRL",0.0358379250110267,-0.143704191740978,0.215380041763032,0.616233074765043,0.999339937233234
"7","micro_ADC_ATRL",0.035013440200931,-0.13540204153248,0.205428921934342,0.680813369957947,0.999339937233234
"8","Dax_intra_ATRL",0.0153190269847248,-0.164315288074732,0.194953342044182,0.838178577879064,0.999339937233234
"9","Dax_extra_ATRL",0.0252890789750046,-0.153968859097619,0.204547017047628,0.735716456568596,0.999339937233234
"10","mk_ATRL",0.111452400243863,-0.0625714250375643,0.285476225525291,0.370555093640068,0.999339937233234
"11","rk_ATRL",0.0619223487072387,-0.108036782316894,0.231881479731372,0.495369109637861,0.999339937233234
"12","ak_ATRL",0.0976754598291672,-0.0799070074719921,0.275257927130326,0.499347839699306,0.999339937233234
"13","FA_ATRL",-0.111586548101051,-0.271640228878447,0.0484671326763446,0.144215499095229,0.999339937233234
"14","MD_ATRL",-0.00807182433535879,-0.165801909010262,0.149658260339545,0.920952571546586,0.999339937233234
"15","RD_ATRL",0.0298269322152753,-0.125792731915535,0.185446596346086,0.692846818711597,0.999339937233234
"16","AD_ATRL",-0.0806637035773573,-0.246291510343444,0.0849641031887296,0.411795493544155,0.999339937233234
"17","smt_fa_ATRL",0.103759875090338,-0.0698505154900629,0.27737026567074,0.14270216690137,0.999339937233234
"18","smt_long_ATRL",0.0214427590378457,-0.14852512218328,0.191410640258971,0.822913004344876,0.999339937233234
"19","smt_md_ATRL",-0.00286580537753525,-0.166546200613245,0.160814589858174,0.976088950103243,0.999339937233234
"20","smt_trans_ATRL",-0.0545094901928825,-0.218411042720547,0.109392062334782,0.493143681597383,0.999339937233234
"21","smt_mc_intra_ATRL",0.0480483421395234,-0.123518882663471,0.219615566942517,0.604466362556028,0.999339937233234
"22","smt_mc_extramd_ATRL",-0.0201262263183331,-0.184790538342036,0.14453808570537,0.839181071885929,0.999339937233234
"23","smt_mc_extratrans_ATRL",-0.0118361068586584,-0.175208423720156,0.151536210002839,0.899560969635285,0.999339937233234
"24","smt_mc_diff_ATRL",-0.0169932354397638,-0.1941040847465,0.160117613866972,0.836690366698535,0.999339937233234
"25","awf_ATRL",0.0129350987189624,-0.154430785258137,0.180300982696062,0.892759864235067,0.999339937233234
"26","radEAD_ATRL",0.217544054690311,0.055455271422473,0.379632837958149,0.0874445357482208,0.999339937233234
"27","v_intra_ATRR",0.0486042650231373,-0.12907578619965,0.226284316245925,0.542226627873322,0.999339937233234
"28","v_extra_ATRR",-0.0768707452197293,-0.254807411826643,0.101065921387185,0.420375975471326,0.999339937233234
"29","v_csf_ATRR",-0.0229532792574658,-0.202472814141892,0.156566255626961,0.705357345182223,0.999339937233234
"30","micro_Rd_ATRR",0.0241955922614173,-0.129252363771238,0.177643548294073,0.791009959574115,0.999339937233234
"31","micro_FA_ATRR",0.00367429204871264,-0.173916833039652,0.181265417137077,0.960096510382017,0.999339937233234
"32","micro_Ax_ATRR",0.0283305973094176,-0.151094068301049,0.207755262919884,0.689532989639678,0.999339937233234
"33","micro_ADC_ATRR",0.0411065117200075,-0.129986071908138,0.212199095348153,0.607040949961057,0.999339937233234
"34","Dax_intra_ATRR",-0.000167403793152455,-0.179829609416847,0.179494801830542,0.998307081894823,0.999339937233234
"35","Dax_extra_ATRR",0.0176337927274518,-0.16162313731177,0.196890722766673,0.8141239615003,0.999339937233234
"36","mk_ATRR",0.15359669436437,-0.0227782826186626,0.329971671347403,0.301599355138199,0.999339937233234
"37","rk_ATRR",0.0802335309739668,-0.0924192630201886,0.252886324968122,0.444949572069514,0.999339937233234
"38","ak_ATRR",0.157431382967283,-0.0204810125779643,0.335343778512531,0.370561423667614,0.999339937233234
"39","FA_ATRR",-0.138079100323345,-0.299419655254572,0.0232614546078812,0.0974781965337236,0.999339937233234
"40","MD_ATRR",-0.0460614347503209,-0.203274399471686,0.111151529971044,0.614443928399641,0.999339937233234
"41","RD_ATRR",0.00954600681681204,-0.146064292919524,0.165156306553148,0.902282343945124,0.999339937233234
"42","AD_ATRR",-0.1371587724413,-0.301261126391936,0.0269435815093357,0.239920684717236,0.999339937233234
"43","smt_fa_ATRR",0.131905426277546,-0.0436991425843967,0.30750999513949,0.0570859107976556,0.999339937233234
"44","smt_long_ATRR",-0.00759328459645288,-0.178146105075115,0.162959535882209,0.945415001225108,0.999339937233234
"45","smt_md_ATRR",-0.0417478651340567,-0.205702644693371,0.122206914425257,0.714707835393317,0.999339937233234
"46","smt_trans_ATRR",-0.0949317231265366,-0.260918764052933,0.0710553177998599,0.276357996231926,0.999339937233234
"47","smt_mc_intra_ATRR",0.0702335927381929,-0.10381641273773,0.244283598214116,0.471549540405972,0.999339937233234
"48","smt_mc_extramd_ATRR",-0.052873736539793,-0.218630154374072,0.112882681294486,0.657832166174621,0.999339937233234
"49","smt_mc_extratrans_ATRR",-0.0366023384371993,-0.201127446720841,0.127922769846443,0.736506458235655,0.999339937233234
"50","smt_mc_diff_ATRR",-0.0431523308262383,-0.21976398977485,0.133459328122373,0.661364224185654,0.999339937233234
"51","awf_ATRR",0.0486568140190972,-0.121907469820077,0.219221097858271,0.661551950696386,0.999339937233234
